source_name	display_name	source_material	display_systems	segments	triangles	source
arcade_cell_ant	arcade cell ant	arcade_cells	digestive	1	15680	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
arcade_cell_post	arcade cell post	arcade_cells	digestive	1	13824	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
mu_bod_vl22	mu bod vl22	body_wall_muscle	muscular	1	11552	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
mu_bod_vl20	mu bod vl20	body_wall_muscle	muscular	1	11648	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
mu_bod_vl18	mu bod vl18	body_wall_muscle	muscular	1	9600	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
mu_bod_vl16	mu bod vl16	body_wall_muscle	muscular	1	6192	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
mu_bod_vl14	mu bod vl14	body_wall_muscle	muscular	1	8912	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
mu_bod_vl12	mu bod vl12	body_wall_muscle	muscular	1	9040	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
mu_bod_vl10	mu bod vl10	body_wall_muscle	muscular	1	7488	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
mu_bod_vl8	mu bod vl8	body_wall_muscle	muscular	1	3872	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
mu_bod_vl6	mu bod vl6	body_wall_muscle	muscular	1	2608	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
mu_bod_vl4	mu bod vl4	body_wall_muscle	muscular	1	1792	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
mu_bod_vl2	mu bod vl2	body_wall_muscle	muscular	1	3744	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
mu_bod_vl21	mu bod vl21	body_wall_muscle	muscular	1	3616	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
mu_bod_vl19	mu bod vl19	body_wall_muscle	muscular	1	2656	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
mu_bod_vl17	mu bod vl17	body_wall_muscle	muscular	1	4576	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
mu_bod_vl15	mu bod vl15	body_wall_muscle	muscular	1	4960	https://github.com/openworm/wormbrowser/blob/937839d19f505d0dff9aebb1e3bc69f7855942a8/org.openworm.wormbrowser/war/models/Virtual_Worm/Virtual_Worm_February_2012.js
